,Tatneft_Год отч_2018.txt,NOVATEC_Год отч_2014.txt,NOVATEC_Год отч_2015.txt,NOVATEC_Год отч_2017.txt,Fosagro_Год отч_2018.txt,Metalloinvest_ Год отч_2018.txt,Rusal_Год отч_2018.txt,NOVATEC_Год отч_2016.txt,Gazprom_Год отч_2017.txt,MMK_Год отч_2014.txt,MMK_Год отч_2015.txt,Gazprom_Год отч_2016.txt,Gazprom_Год отч_2014.txt,MMK_Год отч_2017.txt,MMK_Год отч_2016.txt,Gazprom_Год отч_2015.txt,Rosneft_Год отч_2017.txt,Rushidro_Год отчёт_2015.txt,Uralkalii_2016.txt,Uralkalii_2017.txt,Rushidro_Год отчёт_2014.txt,Rosneft_Год отч_2016.txt,Rosneft_Год отч_2014.txt,Rushidro_Год отчёт_2016.txt,Uralkalii_2015.txt,Uralkalii_2014.txt,Rushidro_Год отчёт_2017.txt,Polyus_Год отч_2018.txt,Rosneft_Год отч_2015.txt,Lukoil_Год отч_2018.txt,Aeroflot_Год отч_2014.txt,ALROSA_2016.txt,SeverStal_год отч_2018.txt,ALROSA_2017.txt,Aeroflot_Год отч_2015.txt,NorNickel_Год отч_2018.txt,Aeroflot_Год отч_2017.txt,ALROSA_2015.txt,ALROSA_2014.txt,Acron_Год отч_2018.txt,Aeroflot_Год отч_2016.txt,NorNickel_Год отч_2016.txt,Lukoil_Год отч_2017.txt,Acron_Год отч_2015.txt,SeverStal_год отч_2017.txt,SeverStal_год отч_2016.txt,ALROSA_2018.txt,Acron_Год отч_2014.txt,Lukoil_Год отч_2016.txt,NorNickel_Год отч_2017.txt,NorNickel_Год отч_2015.txt,Aeroflot_Год отч_2018.txt,Lukoil_Год отч_2014.txt,Acron_Год отч_2016.txt,SeverStal_год отч_2014.txt,SeverStal_год отч_2015.txt,AR_2015_rus.txt,Acron_Год отч_2017.txt,Lukoil_Год отч_2015.txt,NorNickel_Год отч_2014.txt,Rosneft_Год отч_2018.txt,Polyus_Год отч_2015.txt,Uralkalii_2018.txt,Polyus_Год отч_2014.txt,Polyus_Год отч_2016.txt,Rushidro_Год отчёт_2018.txt,Polyus_Год отч_2017.txt,Gazprom_Год отч_2018.txt,MMK_Год отч_2018.txt,Tatneft_Год отч_2017.txt,Metalloinvest_ Год отч_2014.txt,Fosagro_Год отч_2014.txt,Rusal_Год отч_2015.txt,Rusal_Год отч_2014.txt,Fosagro_Год отч_2015.txt,Metalloinvest_ Год отч_2015.txt,Tatneft_Год отч_2016.txt,Tatneft_Год отч_2014.txt,NOVATEC_Год отч_2018.txt,Fosagro_Год отч_2017.txt,Metalloinvest_ Год отч_2017.txt,Rusal_Год отч_2016.txt,Rusal_Год отч_2017.txt,Metalloinvest_ Год отч_2016.txt,Fosagro_Год отч_2016.txt,Tatneft_Год отч_2015.txt
утилизация отход,0,0,0,0,0,0,0,0,0,1,5,1,0,4,5,0,0,0,0,0,0,0,0,0,2,2,0,0,2,5,3,0,0,1,2,2,1,0,0,0,3,1,6,0,0,0,0,0,6,5,1,2,5,0,1,1,2,0,3,0,1,0,0,0,0,0,5,0,3,1,0,1,0,0,3,0,2,1,0,2,1,0,0,0,4,1
парниковый газ,11,2,2,33,7,1,0,3,5,0,0,21,12,0,0,13,1,0,6,6,2,1,0,0,5,6,17,3,0,19,0,3,9,4,5,15,6,0,0,0,7,0,24,0,1,1,7,0,11,9,0,16,0,0,3,1,5,0,5,0,11,0,5,0,0,26,43,11,0,4,1,0,0,0,1,2,3,3,3,5,0,0,0,0,0,1
обращение с отход,2,0,0,2,0,3,0,0,1,0,0,1,1,1,2,1,0,0,5,4,0,0,0,0,4,3,1,0,1,1,0,2,0,1,0,2,2,1,2,5,0,1,0,3,0,0,1,7,0,2,1,0,0,3,0,0,4,4,0,0,1,0,6,0,0,2,3,0,1,2,0,0,0,0,0,0,4,0,0,0,4,0,0,7,0,3
очистка,22,0,2,6,4,7,0,0,6,1,4,5,3,11,2,6,24,6,1,1,1,19,15,4,1,1,13,1,21,9,2,7,6,3,2,7,1,4,3,8,1,10,10,5,11,1,1,9,7,20,13,1,13,4,3,2,1,8,11,2,28,0,1,0,0,17,1,9,6,22,6,2,0,0,0,6,23,17,6,7,5,0,0,6,2,11
снижать расход топливо,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
очистка территория,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
окружающий среда,45,7,8,16,46,13,0,10,20,10,15,32,22,17,19,28,48,18,24,26,6,35,46,14,28,27,37,33,29,33,6,6,19,11,9,28,16,8,14,13,18,25,33,12,24,18,20,14,31,26,32,11,18,11,18,19,28,15,31,0,47,5,24,4,5,33,82,20,24,34,10,36,0,0,36,10,39,26,14,41,14,0,0,9,38,45
охрана окружающий среда,9,19,21,73,56,22,0,19,24,4,13,27,19,15,12,30,20,1,27,13,1,38,27,2,23,20,28,15,37,12,1,5,25,13,2,13,4,10,11,3,4,15,12,4,22,34,20,5,9,11,13,15,12,4,37,39,23,7,13,4,16,3,19,3,1,31,43,21,15,13,5,26,0,0,31,3,18,19,21,36,16,0,0,9,28,20
система экологический менеджмент,0,1,1,0,0,0,0,1,4,6,14,3,3,12,12,4,0,0,0,0,0,0,3,0,0,0,1,2,1,0,4,1,0,4,2,2,2,0,3,0,2,2,1,0,0,2,7,0,1,2,3,3,0,0,1,4,0,0,0,0,3,0,0,0,0,0,6,4,11,4,6,1,0,0,0,3,1,1,2,0,10,0,0,3,0,1
природоохранный мероприятие,0,0,0,1,1,4,0,0,2,1,1,1,2,3,3,5,1,0,3,3,0,0,2,0,2,0,3,1,1,3,0,0,0,0,0,2,0,1,1,1,1,1,3,2,0,0,1,3,3,0,2,0,4,1,1,1,2,2,3,0,0,0,3,0,0,2,5,3,1,0,1,0,0,0,0,0,1,4,0,4,2,0,0,3,0,4
благоустройство,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,3,4,0,0,0,1,0,0,4,0,0,1,0,3,0,1,0,6,0,2,2,2,0,2,0,3,1,0,1,2,0,4,4,0,0,1,0,1,0,2,0,0,2,0,1,0,0,3,1,0,0,6,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,8
энергоэффективность,4,2,2,9,9,12,0,2,14,1,3,12,7,4,9,6,14,37,5,4,23,17,16,29,3,5,34,0,14,9,2,3,1,2,2,2,3,4,2,5,1,0,9,4,1,2,4,0,4,2,2,2,4,5,4,1,3,5,5,0,15,0,3,0,0,29,4,17,2,0,1,3,0,0,3,0,4,3,3,5,2,0,0,6,4,1
отход,13,6,7,36,36,17,0,3,14,18,33,13,11,31,31,12,8,2,39,37,2,3,7,8,37,24,24,1,6,23,9,4,2,7,7,27,22,1,7,38,12,29,13,15,2,2,9,13,20,32,46,17,15,25,9,5,37,34,12,4,10,1,43,2,0,31,21,6,31,8,2,27,0,0,35,3,22,7,3,30,27,0,0,22,25,26
энергосбережение,2,0,0,1,0,0,0,0,35,2,0,24,16,4,7,13,19,19,4,4,5,22,20,13,4,5,25,0,18,1,6,1,0,1,0,0,3,6,7,3,2,1,4,0,0,0,1,0,2,1,0,5,2,2,0,0,4,2,2,0,19,0,2,0,0,19,2,30,2,1,0,1,0,0,3,0,5,6,0,1,0,0,0,0,2,4
рекультивация земеля,1,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,2,0,1,1,0,2,2,0,1,1,0,1,2,0,0,0,0,1,0,2,0,0,0,0,0,2,1,0,1,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,2,2,1,0,2,0,0,0,0,2
